date,state,population,cases,recovered,dead
2020-02-26,Burgenland,296010,0,0,0
2020-02-26,Kärnten,562089,0,0,0
2020-02-26,Niederösterreich,1690879,0,0,0
2020-02-26,Oberösterreich,1495608,0,0,0
2020-02-26,Salzburg,560710,0,0,0
2020-02-26,Steiermark,1247077,0,0,0
2020-02-26,Tirol,760105,0,0,0
2020-02-26,Vorarlberg,399237,0,0,0
2020-02-26,Wien,1920949,1,0,0
2020-02-26,Österreich,8932664,1,0,0
2020-02-27,Österreich,8932664,3,0,0
2020-02-27,Wien,1920949,3,0,0
2020-02-27,Vorarlberg,399237,0,0,0
2020-02-27,Steiermark,1247077,0,0,0
2020-02-27,Tirol,760105,0,0,0
2020-02-27,Oberösterreich,1495608,0,0,0
2020-02-27,Niederösterreich,1690879,0,0,0
2020-02-27,Kärnten,562089,0,0,0
2020-02-27,Burgenland,296010,0,0,0
2020-02-27,Salzburg,560710,0,0,0
2020-02-28,Österreich,8932664,7,0,0
2020-02-28,Wien,1920949,4,0,0
2020-02-28,Vorarlberg,399237,0,0,0
2020-02-28,Tirol,760105,0,0,0
2020-02-28,Steiermark,1247077,1,0,0
2020-02-28,Salzburg,560710,0,0,0
2020-02-28,Niederösterreich,1690879,2,0,0
2020-02-28,Kärnten,562089,0,0,0
2020-02-28,Burgenland,296010,0,0,0
2020-02-28,Oberösterreich,1495608,0,0,0
2020-02-29,Vorarlberg,399237,0,0,0
2020-02-29,Österreich,8932664,8,0,0
2020-02-29,Wien,1920949,5,0,0
2020-02-29,Steiermark,1247077,1,0,0
2020-02-29,Tirol,760105,0,0,0
2020-02-29,Oberösterreich,1495608,0,0,0
2020-02-29,Burgenland,296010,0,0,0
2020-02-29,Kärnten,562089,0,0,0
2020-02-29,Salzburg,560710,0,0,0
2020-02-29,Niederösterreich,1690879,2,0,0
2020-03-01,Burgenland,296010,0,0,0
2020-03-01,Kärnten,562089,0,0,0
2020-03-01,Niederösterreich,1690879,2,0,0
2020-03-01,Oberösterreich,1495608,0,0,0
2020-03-01,Steiermark,1247077,1,0,0
2020-03-01,Tirol,760105,0,0,0
2020-03-01,Vorarlberg,399237,0,0,0
2020-03-01,Wien,1920949,9,0,0
2020-03-01,Österreich,8932664,12,0,0
2020-03-01,Salzburg,560710,0,0,0
2020-03-02,Österreich,8932664,17,0,0
2020-03-02,Steiermark,1247077,3,0,0
2020-03-02,Wien,1920949,10,0,0
2020-03-02,Vorarlberg,399237,0,0,0
2020-03-02,Tirol,760105,0,0,0
2020-03-02,Salzburg,560710,1,0,0
2020-03-02,Niederösterreich,1690879,3,0,0
2020-03-02,Kärnten,562089,0,0,0
2020-03-02,Burgenland,296010,0,0,0
2020-03-02,Oberösterreich,1495608,0,0,0
2020-03-03,Österreich,8932664,23,0,0
2020-03-03,Wien,1920949,14,0,0
2020-03-03,Vorarlberg,399237,0,0,0
2020-03-03,Tirol,760105,0,0,0
2020-03-03,Steiermark,1247077,3,0,0
2020-03-03,Salzburg,560710,1,0,0
2020-03-03,Niederösterreich,1690879,5,0,0
2020-03-03,Kärnten,562089,0,0,0
2020-03-03,Burgenland,296010,0,0,0
2020-03-03,Oberösterreich,1495608,0,0,0
2020-03-04,Vorarlberg,399237,0,0,0
2020-03-04,Österreich,8932664,37,0,0
2020-03-04,Wien,1920949,16,0,0
2020-03-04,Steiermark,1247077,4,0,0
2020-03-04,Tirol,760105,2,0,0
2020-03-04,Oberösterreich,1495608,0,0,0
2020-03-04,Burgenland,296010,0,0,0
2020-03-04,Kärnten,562089,1,0,0
2020-03-04,Salzburg,560710,2,0,0
2020-03-04,Niederösterreich,1690879,12,0,0
2020-03-05,Burgenland,296010,0,0,0
2020-03-05,Kärnten,562089,2,0,0
2020-03-05,Niederösterreich,1690879,15,0,0
2020-03-05,Oberösterreich,1495608,0,0,0
2020-03-05,Salzburg,560710,3,0,0
2020-03-05,Steiermark,1247077,4,0,0
2020-03-05,Tirol,760105,4,2,0
2020-03-05,Vorarlberg,399237,1,0,0
2020-03-05,Wien,1920949,17,0,0
2020-03-05,Österreich,8932664,46,2,0
2020-03-06,Tirol,760105,7,2,0
2020-03-06,Österreich,8932664,75,2,0
2020-03-06,Wien,1920949,25,0,0
2020-03-06,Vorarlberg,399237,3,0,0
2020-03-06,Steiermark,1247077,6,0,0
2020-03-06,Salzburg,560710,3,0,0
2020-03-06,Oberösterreich,1495608,1,0,0
2020-03-06,Niederösterreich,1690879,24,0,0
2020-03-06,Kärnten,562089,2,0,0
2020-03-06,Burgenland,296010,4,0,0
2020-03-07,Österreich,8932664,98,2,0
2020-03-07,Wien,1920949,29,0,0
2020-03-07,Vorarlberg,399237,3,0,0
2020-03-07,Tirol,760105,8,2,0
2020-03-07,Steiermark,1247077,8,0,0
2020-03-07,Oberösterreich,1495608,7,0,0
2020-03-07,Niederösterreich,1690879,31,0,0
2020-03-07,Kärnten,562089,3,0,0
2020-03-07,Burgenland,296010,4,0,0
2020-03-07,Salzburg,560710,5,0,0
2020-03-08,Steiermark,1247077,11,0,0
2020-03-08,Wien,1920949,30,0,0
2020-03-08,Vorarlberg,399237,4,0,0
2020-03-08,Tirol,760105,21,2,0
2020-03-08,Österreich,8932664,126,2,0
2020-03-08,Salzburg,560710,6,0,0
2020-03-08,Niederösterreich,1690879,36,0,0
2020-03-08,Burgenland,296010,4,0,0
2020-03-08,Oberösterreich,1495608,11,0,0
2020-03-08,Kärnten,562089,3,0,0
2020-03-09,Burgenland,296010,4,0,0
2020-03-09,Kärnten,562089,3,0,0
2020-03-09,Niederösterreich,1690879,39,0,0
2020-03-09,Oberösterreich,1495608,14,0,0
2020-03-09,Salzburg,560710,9,0,0
2020-03-09,Tirol,760105,23,2,0
2020-03-09,Vorarlberg,399237,5,0,0
2020-03-09,Wien,1920949,33,0,0
2020-03-09,Österreich,8932664,148,2,0
2020-03-09,Steiermark,1247077,18,0,0
2020-03-10,Österreich,8932664,203,3,0
2020-03-10,Steiermark,1247077,19,0,0
2020-03-10,Wien,1920949,42,1,0
2020-03-10,Vorarlberg,399237,14,0,0
2020-03-10,Tirol,760105,35,2,0
2020-03-10,Salzburg,560710,11,0,0
2020-03-10,Niederösterreich,1690879,45,0,0
2020-03-10,Kärnten,562089,3,0,0
2020-03-10,Burgenland,296010,4,0,0
2020-03-10,Oberösterreich,1495608,30,0,0
2020-03-11,Österreich,8932664,311,4,0
2020-03-11,Wien,1920949,62,1,0
2020-03-11,Vorarlberg,399237,17,0,0
2020-03-11,Tirol,760105,71,2,0
2020-03-11,Steiermark,1247077,28,0,0
2020-03-11,Salzburg,560710,12,0,0
2020-03-11,Niederösterreich,1690879,53,1,0
2020-03-11,Kärnten,562089,5,0,0
2020-03-11,Burgenland,296010,6,0,0
2020-03-11,Oberösterreich,1495608,57,0,0
2020-03-12,Tirol,760105,117,2,0
2020-03-12,Österreich,8932664,407,7,1
2020-03-12,Wien,1920949,65,3,1
2020-03-12,Steiermark,1247077,41,0,0
2020-03-12,Vorarlberg,399237,19,0,0
2020-03-12,Oberösterreich,1495608,73,0,0
2020-03-12,Burgenland,296010,8,0,0
2020-03-12,Kärnten,562089,7,0,0
2020-03-12,Salzburg,560710,20,1,0
2020-03-12,Niederösterreich,1690879,57,1,0
2020-03-13,Burgenland,296010,11,0,0
2020-03-13,Kärnten,562089,7,0,0
2020-03-13,Niederösterreich,1690879,82,1,0
2020-03-13,Oberösterreich,1495608,107,0,0
2020-03-13,Salzburg,560710,23,1,0
2020-03-13,Steiermark,1247077,65,0,0
2020-03-13,Tirol,760105,185,2,0
2020-03-13,Vorarlberg,399237,28,0,0
2020-03-13,Wien,1920949,80,3,1
2020-03-13,Österreich,8932664,588,7,1
2020-03-14,Österreich,8932664,771,10,2
2020-03-14,Wien,1920949,95,4,2
2020-03-14,Vorarlberg,399237,53,0,0
2020-03-14,Steiermark,1247077,84,0,0
2020-03-14,Tirol,760105,210,2,0
2020-03-14,Oberösterreich,1495608,157,1,0
2020-03-14,Niederösterreich,1690879,112,1,0
2020-03-14,Kärnten,562089,9,1,0
2020-03-14,Burgenland,296010,12,0,0
