date,tests,normal_beds,ICU_beds,state
2020-04-01,0,7,3,Burgenland
2020-04-01,0,18,11,Kärnten
2020-04-01,9395,164,36,Niederösterreich
2020-04-01,0,113,29,Oberösterreich
2020-04-01,7439,56,10,Salzburg
2020-04-01,0,138,27,Steiermark
2020-04-01,0,156,57,Tirol
2020-04-01,0,39,12,Vorarlberg
2020-04-01,0,165,30,Wien
2020-04-01,16834,856,215,Alle
2020-04-02,92190,823,219,Alle
2020-04-02,18880,158,32,Wien
2020-04-02,4021,39,12,Vorarlberg
2020-04-02,9127,121,28,Steiermark
2020-04-02,21051,159,56,Tirol
2020-04-02,15740,107,31,Oberösterreich
2020-04-02,9982,160,43,Niederösterreich
2020-04-02,4078,17,1,Kärnten
2020-04-02,1265,10,3,Burgenland
2020-04-02,8046,52,13,Salzburg
2020-04-03,98343,829,245,Alle
2020-04-03,19618,156,43,Wien
2020-04-03,4389,39,12,Vorarlberg
2020-04-03,22328,154,55,Tirol
2020-04-03,9694,134,30,Steiermark
2020-04-03,8783,59,14,Salzburg
2020-04-03,10566,160,43,Niederösterreich
2020-04-03,4303,17,11,Kärnten
2020-04-03,1375,8,4,Burgenland
2020-04-03,17287,102,33,Oberösterreich
2020-04-04,4801,35,12,Vorarlberg
2020-04-04,104134,826,245,Alle
2020-04-04,20740,148,44,Wien
2020-04-04,10262,126,34,Steiermark
2020-04-04,23246,156,54,Tirol
2020-04-04,18643,102,33,Oberösterreich
2020-04-04,1486,7,3,Burgenland
2020-04-04,4509,21,11,Kärnten
2020-04-04,9361,64,15,Salzburg
2020-04-04,11086,167,39,Niederösterreich
2020-04-05,1495,6,6,Burgenland
2020-04-05,4601,22,13,Kärnten
2020-04-05,11397,69,43,Niederösterreich
2020-04-05,19496,104,32,Oberösterreich
2020-04-05,10715,110,28,Steiermark
2020-04-05,23962,142,54,Tirol
2020-04-05,4965,33,12,Vorarlberg
2020-04-05,22144,150,42,Wien
2020-04-05,108416,712,244,Alle
2020-04-05,9641,76,14,Salzburg
2020-04-06,111296,824,250,Alle
2020-04-06,11049,125,30,Steiermark
2020-04-06,22798,157,42,Wien
2020-04-06,5165,32,11,Vorarlberg
2020-04-06,24412,141,59,Tirol
2020-04-06,9799,72,18,Salzburg
2020-04-06,11829,164,43,Niederösterreich
2020-04-06,4682,22,12,Kärnten
2020-04-06,1521,5,6,Burgenland
2020-04-06,20041,106,29,Oberösterreich
2020-04-07,115235,857,243,Alle
2020-04-07,23659,158,33,Wien
2020-04-07,5235,32,11,Vorarlberg
2020-04-07,25061,156,59,Tirol
2020-04-07,11522,137,29,Steiermark
2020-04-07,9978,79,16,Salzburg
2020-04-07,12393,169,48,Niederösterreich
2020-04-07,4895,23,12,Kärnten
2020-04-07,1639,9,4,Burgenland
2020-04-07,20853,94,31,Oberösterreich
2020-04-08,26141,132,65,Tirol
2020-04-08,120755,829,267,Alle
2020-04-08,24869,153,35,Wien
2020-04-08,12184,143,33,Steiermark
2020-04-08,5391,29,11,Vorarlberg
2020-04-08,21846,119,33,Oberösterreich
2020-04-08,1609,10,2,Burgenland
2020-04-08,5199,21,12,Kärnten
2020-04-08,10605,69,21,Salzburg
2020-04-08,12911,153,55,Niederösterreich
2020-04-09,1667,11,4,Burgenland
2020-04-09,5573,19,13,Kärnten
2020-04-09,13457,154,54,Niederösterreich
2020-04-09,22839,117,29,Oberösterreich
2020-04-09,11101,75,19,Salzburg
2020-04-09,12753,141,31,Steiermark
2020-04-09,27174,123,65,Tirol
2020-04-09,5609,29,11,Vorarlberg
2020-04-09,26114,151,40,Wien
2020-04-09,126287,820,266,Alle
2020-04-10,134743,771,261,Alle
2020-04-10,27644,147,41,Wien
2020-04-10,5958,27,11,Vorarlberg
2020-04-10,13390,131,32,Steiermark
2020-04-10,30904,122,61,Tirol
2020-04-10,23638,92,28,Oberösterreich
2020-04-10,1736,8,4,Burgenland
2020-04-10,5891,18,12,Kärnten
2020-04-10,11521,74,19,Salzburg
2020-04-10,14061,152,53,Niederösterreich
2020-04-11,1768,11,3,Burgenland
2020-04-11,6082,19,10,Kärnten
2020-04-11,14544,194,42,Niederösterreich
2020-04-11,24818,87,29,Oberösterreich
2020-04-11,13954,116,33,Steiermark
2020-04-11,32951,116,63,Tirol
2020-04-11,6082,27,10,Vorarlberg
2020-04-11,28912,150,37,Wien
2020-04-11,140975,790,245,Alle
2020-04-11,11864,70,18,Salzburg
2020-04-12,144877,792,243,Alle
2020-04-12,14430,122,32,Steiermark
2020-04-12,29925,156,35,Wien
2020-04-12,6355,27,10,Vorarlberg
2020-04-12,33473,113,61,Tirol
2020-04-12,12215,68,21,Salzburg
2020-04-12,15267,189,42,Niederösterreich
2020-04-12,1799,14,3,Burgenland
2020-04-12,25257,86,29,Oberösterreich
2020-04-12,6156,17,10,Kärnten
2020-04-13,1823,9,3,Burgenland
2020-04-13,6250,17,10,Kärnten
2020-04-13,15483,192,42,Niederösterreich
2020-04-13,25482,84,32,Oberösterreich
2020-04-13,14994,115,31,Steiermark
2020-04-13,35005,103,57,Tirol
2020-04-13,6464,22,10,Vorarlberg
2020-04-13,30461,129,34,Wien
2020-04-13,148412,742,239,Alle
2020-04-13,12450,71,20,Salzburg
2020-04-14,151796,759,243,Alle
2020-04-14,35629,104,56,Tirol
2020-04-14,31391,132,44,Wien
2020-04-14,6531,23,10,Vorarlberg
2020-04-14,15558,113,28,Steiermark
2020-04-14,26023,86,30,Oberösterreich
2020-04-14,15860,193,43,Niederösterreich
2020-04-14,6365,16,8,Kärnten
2020-04-14,1849,11,4,Burgenland
2020-04-14,12590,81,20,Salzburg
2020-04-15,156801,769,232,Alle
2020-04-15,32660,130,38,Wien
2020-04-15,6734,23,10,Vorarlberg
2020-04-15,37091,109,55,Tirol
2020-04-15,16225,118,24,Steiermark
2020-04-15,12837,78,19,Salzburg
2020-04-15,16188,193,42,Niederösterreich
2020-04-15,6549,15,10,Kärnten
2020-04-15,1938,16,4,Burgenland
2020-04-15,26579,87,30,Oberösterreich
2020-04-16,38388,90,54,Tirol
2020-04-16,162816,729,238,Alle
2020-04-16,33607,134,46,Wien
2020-04-16,6767,18,11,Vorarlberg
2020-04-16,16996,120,21,Steiermark
2020-04-16,17410,190,46,Niederösterreich
2020-04-16,27453,78,31,Oberösterreich
2020-04-16,13288,73,15,Salzburg
