date,tests,cases,normal_beds,ICU_beds,deceased,recovered,temp_avg,temp_min,temp_max,day,dow
2020-02-24,18.0,,,,,,,,,-10,Monday
2020-02-25,21.0,,,,,,,,,-9,Tuesday
2020-02-26,41.0,,,,,,,,,-8,Wednesday
2020-02-27,43.0,,,,,,,,,-7,Thursday
2020-02-28,35.0,,,,,,,,,-6,Friday
2020-02-29,16.0,,,,,,,,,-5,Saturday
2020-03-01,17.0,,,,,,,,,-4,Sunday
2020-03-02,54.0,,,,,,9.89,6.49,14.09,-3,Monday
2020-03-03,48.0,,,,,,8.21,5.880000000000001,13.68,-2,Tuesday
2020-03-04,51.0,,,,,,5.42,3.12,10.13,-1,Wednesday
2020-03-05,103.0,,,,,,6.200000000000001,-2.1100000000000003,11.48,0,Thursday
2020-03-06,278.0,,,,,,5.630000000000001,3.8899999999999992,9.15,1,Friday
2020-03-07,177.0,,,,,,7.210000000000001,3.17,13.13,2,Saturday
2020-03-08,238.0,,,,,,3.99,-0.7500000000000002,11.69,3,Sunday
2020-03-09,367.0,,,,,,6.380000000000001,-1.02,12.25,4,Monday
2020-03-10,542.0,,17.0,1.0,,,7.229999999999999,1.3,13.6,5,Tuesday
2020-03-11,749.0,,17.0,1.0,0.0,,10.34,2.88,19.99,6,Wednesday
2020-03-12,1045.0,,15.0,2.0,0.0,,11.18,1.61,19.31,7,Thursday
2020-03-13,1197.0,,18.0,4.0,0.0,,8.42,5.85,12.66,8,Friday
2020-03-14,916.0,,25.0,4.0,1.0,,8.24,4.26,12.66,9,Saturday
2020-03-15,590.0,,30.0,3.0,0.0,,4.26,1.45,10.93,10,Sunday
2020-03-16,871.0,,27.0,5.0,0.0,,4.46,-3.9900000000000007,14.4,11,Monday
2020-03-17,1121.0,286.0,33.0,5.0,0.0,,9.759999999999998,-1.52,18.7,12,Tuesday
2020-03-18,1026.0,317.0,38.0,5.0,0.0,,10.46,4.2700000000000005,19.68,13,Wednesday
2020-03-19,1184.0,335.0,40.0,7.0,0.0,,10.17,1.93,20.670000000000005,14,Thursday
2020-03-20,1242.0,359.0,38.0,8.0,0.0,4.0,11.21,1.82,20.68,15,Friday
2020-03-21,872.0,391.0,43.0,8.0,0.0,5.0,8.94,4.1,17.270000000000003,16,Saturday
2020-03-22,731.0,422.0,41.0,11.0,0.0,4.0,3.72,1.7600000000000002,8.34,17,Sunday
2020-03-23,1257.0,447.0,46.0,10.0,1.0,10.0,2.3300000000000005,-1.86,6.13,18,Monday
2020-03-24,1243.0,478.0,58.0,11.0,1.0,16.0,2.57,-0.74,5.53,19,Tuesday
2020-03-25,1181.0,490.0,64.0,14.0,1.0,34.0,1.01,-0.36,3.78,20,Wednesday
2020-03-26,1075.0,501.0,65.0,16.0,1.0,48.0,3.06,0.3599999999999999,5.029999999999999,21,Thursday
2020-03-27,1384.0,507.0,80.0,22.0,2.0,44.0,7.979999999999999,3.26,14.29,22,Friday
2020-03-28,999.0,518.0,79.0,23.0,2.0,34.0,8.22,0.55,17.83,23,Saturday
2020-03-29,597.0,507.0,84.0,24.0,2.0,34.0,10.34,2.12,18.41,24,Sunday
2020-03-30,1125.0,529.0,88.0,29.0,1.0,25.0,4.220000000000001,3.02,11.36,25,Monday
2020-03-31,1288.0,556.0,82.0,28.0,1.0,8.0,3.0,-1.52,8.28,26,Tuesday
2020-04-01,1095.0,579.0,78.0,31.0,2.0,31.0,2.26,-3.77,9.64,27,Wednesday
2020-04-02,1064.0,596.0,78.0,30.0,1.0,19.0,3.95,-5.18,12.669999999999998,28,Thursday
2020-04-03,1188.0,609.0,84.0,30.0,4.0,26.0,7.960000000000001,-3.15,16.890000000000004,29,Friday
2020-04-04,655.0,592.0,77.0,32.0,2.0,31.0,9.09,1.81,16.38,30,Saturday
2020-04-05,489.0,579.0,79.0,31.0,6.0,34.0,10.17,0.9400000000000002,18.28,31,Sunday
2020-04-06,1202.0,578.0,82.0,30.0,2.0,30.0,10.76,1.16,19.91,32,Monday
2020-04-07,1214.0,566.0,77.0,32.0,6.0,44.0,9.36,-0.36,20.05,33,Tuesday
2020-04-08,1144.0,552.0,76.0,35.0,4.0,44.0,9.71,-1.36,20.71,34,Wednesday
2020-04-09,1234.0,526.0,74.0,34.0,3.0,59.0,11.489999999999998,-0.2299999999999999,23.25,35,Thursday
2020-04-10,1232.0,503.0,70.0,36.0,2.0,47.0,14.07,2.78,24.110000000000007,36,Friday
2020-04-11,572.0,473.0,59.0,35.0,5.0,44.0,14.52,4.38,23.72,37,Saturday
2020-04-12,554.0,456.0,60.0,35.0,3.0,22.0,14.9,4.35,24.62,38,Sunday
2020-04-13,541.0,416.0,62.0,33.0,2.0,47.0,15.4,6.17,23.46,39,Monday
2020-04-14,1168.0,406.0,68.0,35.0,1.0,32.0,4.91,2.16,15.77,40,Tuesday
2020-04-15,1023.0,372.0,62.0,34.0,5.0,55.0,6.93,-1.6700000000000004,15.5,41,Wednesday
2020-04-16,1193.0,368.0,69.0,30.0,0.0,35.0,12.74,-0.0299999999999999,22.45,42,Thursday
2020-04-17,1250.0,340.0,67.0,28.0,5.0,37.0,14.75,3.8,24.24,43,Friday
2020-04-18,685.0,333.0,66.0,27.0,4.0,16.0,15.73,5.1000000000000005,24.62,44,Saturday
2020-04-19,537.0,315.0,63.0,26.0,4.0,20.0,15.65,8.27,24.06,45,Sunday
2020-04-20,1174.0,289.0,61.0,26.0,3.0,35.0,11.95,9.03,16.380000000000003,46,Monday
2020-04-21,1478.0,262.0,61.0,25.0,0.0,34.0,11.02,6.880000000000001,17.36,47,Tuesday
2020-04-22,1457.0,242.0,58.0,24.0,2.0,33.0,11.6,3.05,19.0,48,Wednesday
2020-04-23,1510.0,214.0,57.0,23.0,0.0,34.0,11.39,2.24,20.390000000000004,49,Thursday
2020-04-24,1380.0,200.0,55.0,23.0,1.0,27.0,14.570000000000002,2.07,23.21,50,Friday
2020-04-25,1012.0,191.0,54.0,23.0,2.0,17.0,15.85,6.379999999999999,24.39,51,Saturday
2020-04-26,831.0,190.0,57.0,23.0,0.0,5.0,13.95,9.24,20.410000000000004,52,Sunday
2020-04-27,826.0,188.0,58.0,22.0,2.0,6.0,15.05,7.069999999999999,23.01,53,Monday
2020-04-28,1360.0,170.0,54.0,23.0,2.0,24.0,15.45,8.569999999999999,21.87,54,Tuesday
2020-04-29,1370.0,160.0,48.0,22.0,3.0,19.0,13.429999999999998,10.44,19.01,55,Wednesday
2020-04-30,1382.0,129.0,41.0,22.0,2.0,34.0,15.360000000000005,9.42,21.230000000000004,56,Thursday
2020-05-01,771.0,121.0,37.0,21.0,2.0,12.0,13.97,11.06,18.98,57,Friday
2020-05-02,535.0,108.0,39.0,21.0,1.0,11.0,12.97,9.57,20.89,58,Saturday
2020-05-03,616.0,103.0,38.0,20.0,2.0,4.0,11.87,7.19,18.69,59,Sunday
2020-05-04,1338.0,100.0,38.0,20.0,1.0,8.0,14.11,3.67,21.29,60,Monday
